sku,product_title,brand,images_have,images_to_generate,fill_type,seed_hero_url,notes,shot_intent,nb_prompt_draft
EC-PB755ST-26,Echo PB-755ST Backpack Blower,Echo,1,3,hybrid-fill,dropbox:/life-os/projects/reyco-marine/brand/echo/Blowers - Souffleurs/PB-755ST,Seed: 1 Dropbox shots,front 3/4 studio hero; operator wearing backpack blower outdoor lifestyle; detail nozzle/engine,"Professional product photo of Echo PB-755ST Backpack Blower, front three-quarter view, clean white studio background, professional lighting, blower tube and nozzle clearly shown"
EC-CS2511P-26,Echo CS-2511P Compact Pro Chainsaw,Echo,1,3,hybrid-fill,dropbox:/life-os/projects/reyco-marine/brand/echo/Chainsaws - Scies à chaîne/CS-2511P,Seed: 1 Dropbox shots,front 3/4 studio hero white bg; operator action lifestyle on log; close detail bar/chain,"Professional product photo of Echo CS-2511P Compact Pro Chainsaw, front three-quarter view, clean white studio background, professional product lighting, guide bar and chain clearly visible"
EC-CS271T-26,Echo CS-271T Top-Handle Chainsaw,Echo,1,3,hybrid-fill,dropbox:/life-os/projects/reyco-marine/brand/echo/Chainsaws - Scies à chaîne/CS-271T,Seed: 1 Dropbox shots,front 3/4 studio hero white bg; operator action lifestyle on log; close detail bar/chain,"Professional product photo of Echo CS-271T Top-Handle Chainsaw, front three-quarter view, clean white studio background, professional product lighting, guide bar and chain clearly visible"
EC-CS355T-26,Echo CS-355T Top-Handle Chainsaw,Echo,1,3,hybrid-fill,dropbox:/life-os/projects/reyco-marine/brand/echo/Chainsaws - Scies à chaîne/CS-355T,Seed: 1 Dropbox shots,front 3/4 studio hero white bg; operator action lifestyle on log; close detail bar/chain,"Professional product photo of Echo CS-355T Top-Handle Chainsaw, front three-quarter view, clean white studio background, professional product lighting, guide bar and chain clearly visible"
EC-CS490-26,Echo CS-490 Mid Pro Chainsaw,Echo,2,2,hybrid-fill,dropbox:/life-os/projects/reyco-marine/brand/echo/Chainsaws - Scies à chaîne/CS-490,Seed: 2 Dropbox shots,front 3/4 studio hero white bg; operator action lifestyle on log; close detail bar/chain,"Professional product photo of Echo CS-490 Mid Pro Chainsaw, front three-quarter view, clean white studio background, professional product lighting, guide bar and chain clearly visible"
EC-CS4910-26,Echo CS-4910 Pro Chainsaw,Echo,1,3,hybrid-fill,dropbox:/life-os/projects/reyco-marine/brand/echo/Chainsaws - Scies à chaîne/CS-4910,Seed: 1 Dropbox shots,front 3/4 studio hero white bg; operator action lifestyle on log; close detail bar/chain,"Professional product photo of Echo CS-4910 Pro Chainsaw, front three-quarter view, clean white studio background, professional product lighting, guide bar and chain clearly visible"
EC-CS501P-26,Echo CS-501P Pro Chainsaw,Echo,3,1,hybrid-fill,dropbox:/life-os/projects/reyco-marine/brand/echo/Chainsaws - Scies à chaîne/CS-501P,Seed: 3 Dropbox shots,front 3/4 studio hero white bg; operator action lifestyle on log; close detail bar/chain,"Professional product photo of Echo CS-501P Pro Chainsaw, front three-quarter view, clean white studio background, professional product lighting, guide bar and chain clearly visible"
EC-PB255LN-26,Echo PB-255LN Low-Noise Handheld,Echo,1,3,hybrid-fill,dropbox:/life-os/projects/reyco-marine/brand/echo/Blowers - Souffleurs/PB-255LN,Seed: 1 Dropbox shots,front 3/4 studio hero; operator handheld outdoor lifestyle,"Professional product photo of Echo PB-255LN Low-Noise Handheld handheld blower, front three-quarter view, clean white studio background, professional product lighting"
EC-PB265LN-26,Echo PB-265LN Low-Noise Handheld,Echo,1,3,hybrid-fill,dropbox:/life-os/projects/reyco-marine/brand/echo/Blowers - Souffleurs/PB-265LN,Seed: 1 Dropbox shots,front 3/4 studio hero; operator handheld outdoor lifestyle,"Professional product photo of Echo PB-265LN Low-Noise Handheld handheld blower, front three-quarter view, clean white studio background, professional product lighting"
EC-PB760LNT-26,Echo PB-760LNT Low-Noise Backpack,Echo,0,4,hybrid-fill-no-seed,dropbox:/life-os/projects/reyco-marine/brand/echo/Blowers - Souffleurs/PB-760LNT,Use stock reference as img2img seed; dropbox dir empty,front 3/4 studio hero; operator wearing backpack blower outdoor lifestyle; detail nozzle/engine,"Professional product photo of Echo PB-760LNT Low-Noise Backpack, front three-quarter view, clean white studio background, professional lighting, blower tube and nozzle clearly shown"
EC-SRM2320-26,Echo SRM-2320 Straight-Shaft Trimmer,Echo,1,3,hybrid-fill,dropbox:/life-os/projects/reyco-marine/brand/echo/Trimmers - Coupe-herbes/SRM-2320,Seed: 1 Dropbox shots,front 3/4 studio hero; operator trimming lawn grass outdoor lifestyle,"Professional product photo of Echo SRM-2320 Straight-Shaft Trimmer, front three-quarter view, studio white background, cutting head clearly visible, professional product lighting"
EC-HC155-26,Echo HC-155 Single-Sided Hedge Trimmer,Echo,3,1,hybrid-fill,dropbox:/life-os/projects/reyco-marine/brand/echo/Hedge Trimmers - Taille-haies/HC-155,Seed: 3 Dropbox shots,front 3/4 studio hero; operator trimming hedge lifestyle,"Professional product photo of Echo HC-155 Single-Sided Hedge Trimmer, front three-quarter view, studio white background, single-sided blade clearly visible, professional product lighting"
EC-HC2210-26,Echo HC-2210 Double-Sided Hedge Trimmer,Echo,1,3,hybrid-fill,dropbox:/life-os/projects/reyco-marine/brand/echo/Hedge Trimmers - Taille-haies/HC-2210,Seed: 1 Dropbox shots,front 3/4 studio hero; operator trimming hedge lifestyle; close detail double-sided blade,"Professional product photo of Echo HC-2210 Double-Sided Hedge Trimmer, front three-quarter view, studio white background, double-sided blade clearly visible, professional product lighting"
EC-HC2810-26,Echo HC-2810 Heavy Double-Sided Hedge Trimmer,Echo,1,3,hybrid-fill,dropbox:/life-os/projects/reyco-marine/brand/echo/Hedge Trimmers - Taille-haies/HC-2810,Seed: 1 Dropbox shots,front 3/4 studio hero; operator trimming hedge lifestyle; close detail double-sided blade,"Professional product photo of Echo HC-2810 Heavy Double-Sided Hedge Trimmer, front three-quarter view, studio white background, double-sided blade clearly visible, professional product lighting"
EC-HCA2620S-26,Echo HCA-2620S Articulating Extended-Reach (S),Echo,2,2,hybrid-fill,dropbox:/life-os/projects/reyco-marine/brand/echo/Hedge Trimmers - Taille-haies/HCA-2620S,Seed: 2 Dropbox shots,front 3/4 studio hero showing full shaft length; operator reaching tall hedge lifestyle; detail articulating head,"Professional product photo of Echo HCA-2620S Articulating Extended-Reach (S) shafted hedge trimmer, front three-quarter view showing full shaft length, studio white background, articulating head clearly visible, professional lighting"
EC-SHC225-26,Echo SHC-225 Shafted Hedge Trimmer,Echo,0,4,hybrid-fill-no-seed,dropbox:/life-os/projects/reyco-marine/brand/echo/Hedge Trimmers - Taille-haies/SHC-225,Use stock reference as img2img seed; dropbox dir empty,front 3/4 studio hero showing full shaft length; operator reaching tall hedge lifestyle; detail articulating head,"Professional product photo of Echo SHC-225 Shafted Hedge Trimmer shafted hedge trimmer, front three-quarter view showing full shaft length, studio white background, articulating head clearly visible, professional lighting"
EC-SHC225S-26,Echo SHC-225S Shafted Hedge Trimmer (S),Echo,0,4,hybrid-fill-no-seed,dropbox:/life-os/projects/reyco-marine/brand/echo/Hedge Trimmers - Taille-haies/SHC-225S,Use stock reference as img2img seed; dropbox dir empty,front 3/4 studio hero showing full shaft length; operator reaching tall hedge lifestyle; detail articulating head,"Professional product photo of Echo SHC-225S Shafted Hedge Trimmer (S) shafted hedge trimmer, front three-quarter view showing full shaft length, studio white background, articulating head clearly visible, professional lighting"
EC-SHC2620-26,Echo SHC-2620 Pro Shafted Hedge Trimmer,Echo,2,2,hybrid-fill,dropbox:/life-os/projects/reyco-marine/brand/echo/Hedge Trimmers - Taille-haies/SHC-2620,Seed: 2 Dropbox shots,front 3/4 studio hero showing full shaft length; operator reaching tall hedge lifestyle; detail articulating head,"Professional product photo of Echo SHC-2620 Pro Shafted Hedge Trimmer shafted hedge trimmer, front three-quarter view showing full shaft length, studio white background, articulating head clearly visible, professional lighting"
EC-SHC2620S-26,Echo SHC-2620S Pro Shafted (S),Echo,1,3,hybrid-fill,dropbox:/life-os/projects/reyco-marine/brand/echo/Hedge Trimmers - Taille-haies/SHC-2620S,Seed: 1 Dropbox shots,front 3/4 studio hero showing full shaft length; operator reaching tall hedge lifestyle; detail articulating head,"Professional product photo of Echo SHC-2620S Pro Shafted (S) shafted hedge trimmer, front three-quarter view showing full shaft length, studio white background, articulating head clearly visible, professional lighting"
EC-CWT7410-26,Echo CWT-7410 Walk-Behind Cut-Off Saw,Echo,1,3,hybrid-fill,dropbox:/life-os/projects/reyco-marine/brand/echo/Cut-Off Saw - Découpeuse à disque/CWT-7410,Seed: 1 Dropbox shots,front 3/4 studio hero showing blade; operator concrete cutting lifestyle; detail disc/guard,"Professional product photo of Echo CWT-7410 Walk-Behind Cut-Off Saw walk-behind concrete cut-off saw, front three-quarter view, studio white background, disc blade and protective guard clearly visible"
TORO-72504-LS,Toro GrandStand 48 in. Turbo Force Deck 22 hp Kaw 726cc,Toro,1,3,hybrid-fill,https://cdn.thetorocompany.com/api/assetstorage/623_133e3419-5b79-463b-af5c-ce1847645f4b/Large,Seed: 1 web-scraped shots,front 3/4 outdoor turf action; rear 3/4 showing stand platform; detail closeup deck/controls,"Professional product photo of Toro GrandStand 48-inch zero-turn commercial stand-on mower, front three-quarter view, outdoor manicured green turf, bright natural lighting"
TORO-77283-LS,Toro 52in 2000 Z MASTER TF2 DECK 24.5 HP V TWIN,Toro,1,3,hybrid-fill,https://cdn.thetorocompany.com/api/assetstorage/623_1e6e4f3f-f122-4920-b9c9-afbd61ebb998/Large,Seed: 1 web-scraped shots,front 3/4 outdoor turf action; rear 3/4 Z-Master controls; lifestyle operator,"Professional product photo of Toro 52-inch Z Master 2000 commercial zero-turn mower, front three-quarter view, outdoor turf, bright natural lighting, commercial landscaping context"
TORO-77507-LS,Toro 54in KAW 23HP HAVOC FAB DECK,Toro,3,1,hybrid-fill,https://cdn.thetorocompany.com/api/assetstorage/623_ff912caf-cac3-44a7-a8e5-0ee21a25d589/Large,Seed: 3 web-scraped shots,rear 3/4 outdoor action showing Havoc fab deck clearance,"Professional product photo of Toro 54-inch Havoc fabricated deck zero-turn mower, rear three-quarter action view on outdoor turf, bright natural lighting"
MERC-115HP-115EXLPTPR-LS,Mercury 115 HP Outboard Motor Pro XS,Mercury,3,1,hybrid-fill,https://partsvu.com/cdn/shop/files/115ELPT2.png,Seed: 3 web-scraped shots,lifestyle on Lund/aluminum boat stern open water,"Professional product photo of Mercury 115 HP EFI four-stroke outboard motor mounted on aluminum fishing boat stern, open lake water, bright natural lighting, Northern Ontario fishing context"
MERC-115HP-115PROXS-LS,Mercury 115 HP Outboard Motor Pro XS,Mercury,3,1,hybrid-fill,https://partsvu.com/cdn/shop/files/115ELPT2.png,Seed: 3 web-scraped shots,lifestyle on Lund/aluminum boat stern; studio cowling detail,"Professional product photo of Mercury 115 HP Pro XS two-stroke outboard motor mounted on aluminum fishing boat stern, open lake water, bright natural lighting"
MERC-40HP-40ELPT-LS,Mercury 40 HP Outboard Motor,Mercury,3,1,hybrid-fill,https://partsvu.com/cdn/shop/files/40ELPT_1.png,Seed: 3 web-scraped shots,lifestyle on aluminum fishing boat stern; studio hero front 3/4,"Professional product photo of Mercury 40 HP four-stroke outboard motor mounted on aluminum fishing boat, calm lake, bright natural lighting, fishing lifestyle context"
MERC-115HP-ME115XLPXS-LS,Mercury 115 HP Outboard Motor Pro XS,Mercury,3,1,hybrid-fill,https://partsvu.com/cdn/shop/files/115ELPT2.png,Seed: 3 web-scraped shots,lifestyle on Lund/aluminum boat stern open water,"Professional product photo of Mercury 115 HP Pro XS outboard motor on aluminum fishing boat stern, open lake water, natural lighting, Northern Ontario context"
MERC-40HP-ME40ELHPT4-LS,Mercury 40 HP Outboard Motor EFI,Mercury,3,1,hybrid-fill,https://partsvu.com/cdn/shop/files/40ELPT_1.png,Seed: 3 web-scraped shots,lifestyle on aluminum fishing boat; studio 3/4 hero,"Professional product photo of Mercury 40 HP EFI four-stroke outboard motor mounted on aluminum fishing boat stern, calm lake water, natural lighting"
MERC-UNKHP-ME5MXLHALP-LS,Mercury ME 5 MXLHA LPG 4S SAILPOWER Outboard Motor,Mercury,3,1,hybrid-fill,https://partsvu.com/cdn/shop/files/5hp_SP_Fourstroke_Rear_GoogleShoppingFormat.jpg,Seed: 3 web-scraped shots,lifestyle mounted on sailboat transom; studio front 3/4,"Professional product photo of Mercury 5 HP Sailpower four-stroke outboard motor mounted on sailboat transom, marina or calm lake, bright natural lighting"
PC-AMAROK-166-WS-LS,Princecraft AMAROK 166 WS,Princecraft,2,2,hybrid-fill,https://build.princecraft.com/images/build/designs/4661026-1030082_full.jpg,Seed: 2 web-scraped shots,on calm water bow 3/4 angle; dock side profile with anglers,"Professional product photo of Princecraft AMAROK 166 aluminum fishing boat on calm lake water, bow three-quarter angle, bright natural lighting, Northern Ontario fishing context"
PC-RESORTER-160-BT-LS,Princecraft RESORTER 160 BT,Princecraft,1,3,hybrid-fill,https://build.princecraft.com/images/build/designs/4771006-1035082_full.jpg,Seed: 1 web-scraped shots,on calm water side profile family use; dock bow 3/4; bow detail interior,"Professional product photo of Princecraft RESORTER 160 aluminum fishing boat on calm lake water, side profile, family recreational context, bright natural lighting, Northern Ontario setting"
CC-13A6A9TS596-LS,Cub Cadet XT1 LT42 42-in. 547cc Riding Lawn Mower,Cub Cadet,0,4,from-scratch-pending-portal,,HOLD — generate only if Casey v3 Cub Cadet portal fails,front 3/4 outdoor lawn action; rear 3/4 showing cutting deck; lifestyle operator mowing,"Professional product photo of Cub Cadet XT1 LT42 42-in. 547cc Riding Lawn Mower riding lawn tractor, front three-quarter view, outdoor green residential lawn, bright natural lighting"
CC-13APA1TEA10-LS,Cub Cadet XT2 LX42 42-in. 20 HP,Cub Cadet,0,4,from-scratch-pending-portal,,HOLD — generate only if Casey v3 Cub Cadet portal fails,front 3/4 outdoor lawn action; rear 3/4 showing cutting deck; lifestyle operator mowing,"Professional product photo of Cub Cadet XT2 LX42 42-in. 20 HP riding lawn tractor, front three-quarter view, outdoor green residential lawn, bright natural lighting"
CC-13APA1TNA10-LS,Cub Cadet XT2 LX46 46-in. 22 HP,Cub Cadet,0,4,from-scratch-pending-portal,,HOLD — generate only if Casey v3 Cub Cadet portal fails,front 3/4 outdoor lawn action; rear 3/4 showing cutting deck; lifestyle operator mowing,"Professional product photo of Cub Cadet XT2 LX46 46-in. 22 HP riding lawn tractor, front three-quarter view, outdoor green residential lawn, bright natural lighting"
CC-13APA9TTA10-LS,Cub Cadet XT1 LT46 46-in. 22 HP* Riding Lawn Mower,Cub Cadet,0,4,from-scratch-pending-portal,,HOLD — generate only if Casey v3 Cub Cadet portal fails,front 3/4 outdoor lawn action; rear 3/4 showing cutting deck; lifestyle operator mowing,"Professional product photo of Cub Cadet XT1 LT46 46-in. 22 HP* Riding Lawn Mower riding lawn tractor, front three-quarter view, outdoor green residential lawn, bright natural lighting"
CC-13AQA1TLA10-LS,Cub Cadet XT1 LT50 50-in. 24 HP* Riding Lawn Mower,Cub Cadet,0,4,from-scratch-pending-portal,,HOLD — generate only if Casey v3 Cub Cadet portal fails,front 3/4 outdoor lawn action; rear 3/4 showing cutting deck; lifestyle operator mowing,"Professional product photo of Cub Cadet XT1 LT50 50-in. 24 HP* Riding Lawn Mower riding lawn tractor, front three-quarter view, outdoor green residential lawn, bright natural lighting"
CC-13B5A2TLA10-LS,Cub Cadet NX 15 SLX50,Cub Cadet,0,4,from-scratch-pending-portal,,HOLD — generate only if Casey v3 Cub Cadet portal fails,front 3/4 outdoor lawn action; rear 3/4 showing cutting deck; lifestyle operator mowing,"Professional product photo of Cub Cadet NX 15 SLX50 riding lawn tractor, front three-quarter view, outdoor green residential lawn, bright natural lighting"
CC-13B6A9TTA10-LS,Cub Cadet XT1 LT46 46-in. 547cc,Cub Cadet,0,4,from-scratch-pending-portal,,HOLD — generate only if Casey v3 Cub Cadet portal fails,front 3/4 outdoor lawn action; rear 3/4 showing cutting deck; lifestyle operator mowing,"Professional product photo of Cub Cadet XT1 LT46 46-in. 547cc riding lawn tractor, front three-quarter view, outdoor green residential lawn, bright natural lighting"
CC-13CC1JD596-LS,Cub Cadet CC30H,Cub Cadet,0,4,from-scratch-pending-portal,,HOLD — generate only if Casey v3 Cub Cadet portal fails,front 3/4 outdoor lawn action; rear 3/4 showing cutting deck; lifestyle operator mowing,"Professional product photo of Cub Cadet CC30H riding lawn tractor, front three-quarter view, outdoor green residential lawn, bright natural lighting"
CC-ACSRY:RZTL:50-54-60--LS,Cub Cadet 50 54 60 DK TRI BAGGER,Cub Cadet,0,4,from-scratch-pending-portal,,HOLD — generate only if Casey v3 Cub Cadet portal fails,studio 3/4 showing bagger attachment bags; lifestyle attached on mower,"Professional product photo of Cub Cadet tri bagger attachment, three-quarter view showing collection bags, studio or outdoor setting, professional lighting"
CC-SLX50-LS,Cub Cadet XT2 SLX50,Cub Cadet,0,4,from-scratch-pending-portal,,HOLD — generate only if Casey v3 Cub Cadet portal fails,front 3/4 outdoor lawn action; rear 3/4 showing cutting deck; lifestyle operator mowing,"Professional product photo of Cub Cadet XT2 SLX50 riding lawn tractor, front three-quarter view, outdoor green residential lawn, bright natural lighting"
