id,title,slug,url,ai_check,ai_notes,recommended_action
932,Blowers &amp; Vacuums,blowers-vacuums,https://reyco.glvmarketing.ca/reyco-category/blowers-vacuums/,"Needs Finalization, Delete","R524 Blowers &amp; Vacuums — PRODUCT_CATEGORY ARCHIVE PAGE (URL pattern /reyco-category/[slug]/) — auto-generated archive for the custom Reyco product_category taxonomy. These are PROBABLY UNNECESSARY — many appear to be Lightspeed-import-derived auto-categories from product line variants (model numbers, specific product names like 'APEX 13', 'CS-2511P', 'B') that don't represent real shopping categories. AUDIT POST-PR-87+88: verify if these archive URLs render correctly OR are caught by null-guard (correct behavior = empty state if 0 products tagged). RECOMMENDATION: Aiden + Casey should review the product_category taxonomy and DELETE auto-generated junk terms (model-specific terms shouldn't be categories). Keep only real shopping categories (Pontoons, Riding Mowers, Chainsaws etc.). Reduces sitemap noise + URL surface area + confused product organization. Tag default: Needs Finalization (audit-pending after Aiden cache purge + post-PR-87+88 verification + taxonomy cleanup decision).",evaluate_redirect
44,Boat,boat,https://reyco.glvmarketing.ca/reyco-category/boat/,"Needs Finalization, Delete","R525 Boat — PRODUCT_CATEGORY ARCHIVE PAGE (URL pattern /reyco-category/[slug]/) — auto-generated archive for the custom Reyco product_category taxonomy. These are PROBABLY UNNECESSARY — many appear to be Lightspeed-import-derived auto-categories from product line variants (model numbers, specific product names like 'APEX 13', 'CS-2511P', 'B') that don't represent real shopping categories. AUDIT POST-PR-87+88: verify if these archive URLs render correctly OR are caught by null-guard (correct behavior = empty state if 0 products tagged). RECOMMENDATION: Aiden + Casey should review the product_category taxonomy and DELETE auto-generated junk terms (model-specific terms shouldn't be categories). Keep only real shopping categories (Pontoons, Riding Mowers, Chainsaws etc.). Reduces sitemap noise + URL surface area + confused product organization. Tag default: Needs Finalization (audit-pending after Aiden cache purge + post-PR-87+88 verification + taxonomy cleanup decision).",evaluate_redirect
73,Boat Lifts,boat-lifts,https://reyco.glvmarketing.ca/reyco-category/boat-lifts/,"Needs Finalization, Delete","R526 Boat Lifts — PRODUCT_CATEGORY ARCHIVE PAGE (URL pattern /reyco-category/[slug]/) — auto-generated archive for the custom Reyco product_category taxonomy. These are PROBABLY UNNECESSARY — many appear to be Lightspeed-import-derived auto-categories from product line variants (model numbers, specific product names like 'APEX 13', 'CS-2511P', 'B') that don't represent real shopping categories. AUDIT POST-PR-87+88: verify if these archive URLs render correctly OR are caught by null-guard (correct behavior = empty state if 0 products tagged). RECOMMENDATION: Aiden + Casey should review the product_category taxonomy and DELETE auto-generated junk terms (model-specific terms shouldn't be categories). Keep only real shopping categories (Pontoons, Riding Mowers, Chainsaws etc.). Reduces sitemap noise + URL surface area + confused product organization. Tag default: Needs Finalization (audit-pending after Aiden cache purge + post-PR-87+88 verification + taxonomy cleanup decision).",evaluate_redirect
186,Brushcutters,brushcutters,https://reyco.glvmarketing.ca/reyco-category/brushcutters/,"Needs Finalization, Delete","R527 Brushcutters — PRODUCT_CATEGORY ARCHIVE PAGE (URL pattern /reyco-category/[slug]/) — auto-generated archive for the custom Reyco product_category taxonomy. These are PROBABLY UNNECESSARY — many appear to be Lightspeed-import-derived auto-categories from product line variants (model numbers, specific product names like 'APEX 13', 'CS-2511P', 'B') that don't represent real shopping categories. AUDIT POST-PR-87+88: verify if these archive URLs render correctly OR are caught by null-guard (correct behavior = empty state if 0 products tagged). RECOMMENDATION: Aiden + Casey should review the product_category taxonomy and DELETE auto-generated junk terms (model-specific terms shouldn't be categories). Keep only real shopping categories (Pontoons, Riding Mowers, Chainsaws etc.). Reduces sitemap noise + URL surface area + confused product organization. Tag default: Needs Finalization (audit-pending after Aiden cache purge + post-PR-87+88 verification + taxonomy cleanup decision).",evaluate_redirect
142,Cantilever Lifts,cantilever-lifts,https://reyco.glvmarketing.ca/reyco-category/cantilever-lifts/,"Needs Finalization, Delete","R528 Cantilever Lifts — PRODUCT_CATEGORY ARCHIVE PAGE (URL pattern /reyco-category/[slug]/) — auto-generated archive for the custom Reyco product_category taxonomy. These are PROBABLY UNNECESSARY — many appear to be Lightspeed-import-derived auto-categories from product line variants (model numbers, specific product names like 'APEX 13', 'CS-2511P', 'B') that don't represent real shopping categories. AUDIT POST-PR-87+88: verify if these archive URLs render correctly OR are caught by null-guard (correct behavior = empty state if 0 products tagged). RECOMMENDATION: Aiden + Casey should review the product_category taxonomy and DELETE auto-generated junk terms (model-specific terms shouldn't be categories). Keep only real shopping categories (Pontoons, Riding Mowers, Chainsaws etc.). Reduces sitemap noise + URL surface area + confused product organization. Tag default: Needs Finalization (audit-pending after Aiden cache purge + post-PR-87+88 verification + taxonomy cleanup decision).",evaluate_redirect
31,Chainsaws,chainsaws,https://reyco.glvmarketing.ca/reyco-category/chainsaws/,"Needs Finalization, Delete","R529 Chainsaws — PRODUCT_CATEGORY ARCHIVE PAGE (URL pattern /reyco-category/[slug]/) — auto-generated archive for the custom Reyco product_category taxonomy. These are PROBABLY UNNECESSARY — many appear to be Lightspeed-import-derived auto-categories from product line variants (model numbers, specific product names like 'APEX 13', 'CS-2511P', 'B') that don't represent real shopping categories. AUDIT POST-PR-87+88: verify if these archive URLs render correctly OR are caught by null-guard (correct behavior = empty state if 0 products tagged). RECOMMENDATION: Aiden + Casey should review the product_category taxonomy and DELETE auto-generated junk terms (model-specific terms shouldn't be categories). Keep only real shopping categories (Pontoons, Riding Mowers, Chainsaws etc.). Reduces sitemap noise + URL surface area + confused product organization. Tag default: Needs Finalization (audit-pending after Aiden cache purge + post-PR-87+88 verification + taxonomy cleanup decision).",evaluate_redirect
154,Compact Pro Chainsaws,compact-pro-chainsaws,https://reyco.glvmarketing.ca/reyco-category/compact-pro-chainsaws/,"Needs Finalization, Delete","R530 Compact Pro Chainsaws — PRODUCT_CATEGORY ARCHIVE PAGE (URL pattern /reyco-category/[slug]/) — auto-generated archive for the custom Reyco product_category taxonomy. These are PROBABLY UNNECESSARY — many appear to be Lightspeed-import-derived auto-categories from product line variants (model numbers, specific product names like 'APEX 13', 'CS-2511P', 'B') that don't represent real shopping categories. AUDIT POST-PR-87+88: verify if these archive URLs render correctly OR are caught by null-guard (correct behavior = empty state if 0 products tagged). RECOMMENDATION: Aiden + Casey should review the product_category taxonomy and DELETE auto-generated junk terms (model-specific terms shouldn't be categories). Keep only real shopping categories (Pontoons, Riding Mowers, Chainsaws etc.). Reduces sitemap noise + URL surface area + confused product organization. Tag default: Needs Finalization (audit-pending after Aiden cache purge + post-PR-87+88 verification + taxonomy cleanup decision).",evaluate_redirect
61,Cordless Blowers,cordless-blowers,https://reyco.glvmarketing.ca/reyco-category/cordless-blowers/,"Needs Finalization, Delete","R531 Cordless Blowers — PRODUCT_CATEGORY ARCHIVE PAGE (URL pattern /reyco-category/[slug]/) — auto-generated archive for the custom Reyco product_category taxonomy. These are PROBABLY UNNECESSARY — many appear to be Lightspeed-import-derived auto-categories from product line variants (model numbers, specific product names like 'APEX 13', 'CS-2511P', 'B') that don't represent real shopping categories. AUDIT POST-PR-87+88: verify if these archive URLs render correctly OR are caught by null-guard (correct behavior = empty state if 0 products tagged). RECOMMENDATION: Aiden + Casey should review the product_category taxonomy and DELETE auto-generated junk terms (model-specific terms shouldn't be categories). Keep only real shopping categories (Pontoons, Riding Mowers, Chainsaws etc.). Reduces sitemap noise + URL surface area + confused product organization. Tag default: Needs Finalization (audit-pending after Aiden cache purge + post-PR-87+88 verification + taxonomy cleanup decision).",evaluate_redirect
59,Cordless Chainsaws,cordless-chainsaws,https://reyco.glvmarketing.ca/reyco-category/cordless-chainsaws/,"Needs Finalization, Delete","R532 Cordless Chainsaws — PRODUCT_CATEGORY ARCHIVE PAGE (URL pattern /reyco-category/[slug]/) — auto-generated archive for the custom Reyco product_category taxonomy. These are PROBABLY UNNECESSARY — many appear to be Lightspeed-import-derived auto-categories from product line variants (model numbers, specific product names like 'APEX 13', 'CS-2511P', 'B') that don't represent real shopping categories. AUDIT POST-PR-87+88: verify if these archive URLs render correctly OR are caught by null-guard (correct behavior = empty state if 0 products tagged). RECOMMENDATION: Aiden + Casey should review the product_category taxonomy and DELETE auto-generated junk terms (model-specific terms shouldn't be categories). Keep only real shopping categories (Pontoons, Riding Mowers, Chainsaws etc.). Reduces sitemap noise + URL surface area + confused product organization. Tag default: Needs Finalization (audit-pending after Aiden cache purge + post-PR-87+88 verification + taxonomy cleanup decision).",evaluate_redirect
60,Cordless Trimmers,cordless-trimmers,https://reyco.glvmarketing.ca/reyco-category/cordless-trimmers/,"Needs Finalization, Delete","R533 Cordless Trimmers — PRODUCT_CATEGORY ARCHIVE PAGE (URL pattern /reyco-category/[slug]/) — auto-generated archive for the custom Reyco product_category taxonomy. These are PROBABLY UNNECESSARY — many appear to be Lightspeed-import-derived auto-categories from product line variants (model numbers, specific product names like 'APEX 13', 'CS-2511P', 'B') that don't represent real shopping categories. AUDIT POST-PR-87+88: verify if these archive URLs render correctly OR are caught by null-guard (correct behavior = empty state if 0 products tagged). RECOMMENDATION: Aiden + Casey should review the product_category taxonomy and DELETE auto-generated junk terms (model-specific terms shouldn't be categories). Keep only real shopping categories (Pontoons, Riding Mowers, Chainsaws etc.). Reduces sitemap noise + URL surface area + confused product organization. Tag default: Needs Finalization (audit-pending after Aiden cache purge + post-PR-87+88 verification + taxonomy cleanup decision).",evaluate_redirect
67,Crew UTVs,crew-utvs,https://reyco.glvmarketing.ca/reyco-category/crew-utvs/,"Needs Finalization, Delete","R534 Crew UTVs — PRODUCT_CATEGORY ARCHIVE PAGE (URL pattern /reyco-category/[slug]/) — auto-generated archive for the custom Reyco product_category taxonomy. These are PROBABLY UNNECESSARY — many appear to be Lightspeed-import-derived auto-categories from product line variants (model numbers, specific product names like 'APEX 13', 'CS-2511P', 'B') that don't represent real shopping categories. AUDIT POST-PR-87+88: verify if these archive URLs render correctly OR are caught by null-guard (correct behavior = empty state if 0 products tagged). RECOMMENDATION: Aiden + Casey should review the product_category taxonomy and DELETE auto-generated junk terms (model-specific terms shouldn't be categories). Keep only real shopping categories (Pontoons, Riding Mowers, Chainsaws etc.). Reduces sitemap noise + URL surface area + confused product organization. Tag default: Needs Finalization (audit-pending after Aiden cache purge + post-PR-87+88 verification + taxonomy cleanup decision).",evaluate_redirect
155,CS-2511P,cs-2511p,https://reyco.glvmarketing.ca/reyco-category/cs-2511p/,"Needs Finalization, Delete","R535 CS-2511P — PRODUCT_CATEGORY ARCHIVE PAGE (URL pattern /reyco-category/[slug]/) — auto-generated archive for the custom Reyco product_category taxonomy. These are PROBABLY UNNECESSARY — many appear to be Lightspeed-import-derived auto-categories from product line variants (model numbers, specific product names like 'APEX 13', 'CS-2511P', 'B') that don't represent real shopping categories. AUDIT POST-PR-87+88: verify if these archive URLs render correctly OR are caught by null-guard (correct behavior = empty state if 0 products tagged). RECOMMENDATION: Aiden + Casey should review the product_category taxonomy and DELETE auto-generated junk terms (model-specific terms shouldn't be categories). Keep only real shopping categories (Pontoons, Riding Mowers, Chainsaws etc.). Reduces sitemap noise + URL surface area + confused product organization. Tag default: Needs Finalization (audit-pending after Aiden cache purge + post-PR-87+88 verification + taxonomy cleanup decision).",delete_301_to_parent
157,CS-2511T,cs-2511t,https://reyco.glvmarketing.ca/reyco-category/cs-2511t/,"Needs Finalization, Delete","R536 CS-2511T — PRODUCT_CATEGORY ARCHIVE PAGE (URL pattern /reyco-category/[slug]/) — auto-generated archive for the custom Reyco product_category taxonomy. These are PROBABLY UNNECESSARY — many appear to be Lightspeed-import-derived auto-categories from product line variants (model numbers, specific product names like 'APEX 13', 'CS-2511P', 'B') that don't represent real shopping categories. AUDIT POST-PR-87+88: verify if these archive URLs render correctly OR are caught by null-guard (correct behavior = empty state if 0 products tagged). RECOMMENDATION: Aiden + Casey should review the product_category taxonomy and DELETE auto-generated junk terms (model-specific terms shouldn't be categories). Keep only real shopping categories (Pontoons, Riding Mowers, Chainsaws etc.). Reduces sitemap noise + URL surface area + confused product organization. Tag default: Needs Finalization (audit-pending after Aiden cache purge + post-PR-87+88 verification + taxonomy cleanup decision).",delete_301_to_parent
158,CS-271T,cs-271t,https://reyco.glvmarketing.ca/reyco-category/cs-271t/,"Needs Finalization, Delete","R537 CS-271T — PRODUCT_CATEGORY ARCHIVE PAGE (URL pattern /reyco-category/[slug]/) — auto-generated archive for the custom Reyco product_category taxonomy. These are PROBABLY UNNECESSARY — many appear to be Lightspeed-import-derived auto-categories from product line variants (model numbers, specific product names like 'APEX 13', 'CS-2511P', 'B') that don't represent real shopping categories. AUDIT POST-PR-87+88: verify if these archive URLs render correctly OR are caught by null-guard (correct behavior = empty state if 0 products tagged). RECOMMENDATION: Aiden + Casey should review the product_category taxonomy and DELETE auto-generated junk terms (model-specific terms shouldn't be categories). Keep only real shopping categories (Pontoons, Riding Mowers, Chainsaws etc.). Reduces sitemap noise + URL surface area + confused product organization. Tag default: Needs Finalization (audit-pending after Aiden cache purge + post-PR-87+88 verification + taxonomy cleanup decision).",delete_301_to_parent
160,CS-310,cs-310,https://reyco.glvmarketing.ca/reyco-category/cs-310/,"Needs Finalization, Delete","R538 CS-310 — PRODUCT_CATEGORY ARCHIVE PAGE (URL pattern /reyco-category/[slug]/) — auto-generated archive for the custom Reyco product_category taxonomy. These are PROBABLY UNNECESSARY — many appear to be Lightspeed-import-derived auto-categories from product line variants (model numbers, specific product names like 'APEX 13', 'CS-2511P', 'B') that don't represent real shopping categories. AUDIT POST-PR-87+88: verify if these archive URLs render correctly OR are caught by null-guard (correct behavior = empty state if 0 products tagged). RECOMMENDATION: Aiden + Casey should review the product_category taxonomy and DELETE auto-generated junk terms (model-specific terms shouldn't be categories). Keep only real shopping categories (Pontoons, Riding Mowers, Chainsaws etc.). Reduces sitemap noise + URL surface area + confused product organization. Tag default: Needs Finalization (audit-pending after Aiden cache purge + post-PR-87+88 verification + taxonomy cleanup decision).",delete_301_to_parent
161,CS-3510,cs-3510,https://reyco.glvmarketing.ca/reyco-category/cs-3510/,"Needs Finalization, Delete","R539 CS-3510 — PRODUCT_CATEGORY ARCHIVE PAGE (URL pattern /reyco-category/[slug]/) — auto-generated archive for the custom Reyco product_category taxonomy. These are PROBABLY UNNECESSARY — many appear to be Lightspeed-import-derived auto-categories from product line variants (model numbers, specific product names like 'APEX 13', 'CS-2511P', 'B') that don't represent real shopping categories. AUDIT POST-PR-87+88: verify if these archive URLs render correctly OR are caught by null-guard (correct behavior = empty state if 0 products tagged). RECOMMENDATION: Aiden + Casey should review the product_category taxonomy and DELETE auto-generated junk terms (model-specific terms shouldn't be categories). Keep only real shopping categories (Pontoons, Riding Mowers, Chainsaws etc.). Reduces sitemap noise + URL surface area + confused product organization. Tag default: Needs Finalization (audit-pending after Aiden cache purge + post-PR-87+88 verification + taxonomy cleanup decision).",delete_301_to_parent
162,CS-352,cs-352,https://reyco.glvmarketing.ca/reyco-category/cs-352/,"Needs Finalization, Delete","R540 CS-352 — PRODUCT_CATEGORY ARCHIVE PAGE (URL pattern /reyco-category/[slug]/) — auto-generated archive for the custom Reyco product_category taxonomy. These are PROBABLY UNNECESSARY — many appear to be Lightspeed-import-derived auto-categories from product line variants (model numbers, specific product names like 'APEX 13', 'CS-2511P', 'B') that don't represent real shopping categories. AUDIT POST-PR-87+88: verify if these archive URLs render correctly OR are caught by null-guard (correct behavior = empty state if 0 products tagged). RECOMMENDATION: Aiden + Casey should review the product_category taxonomy and DELETE auto-generated junk terms (model-specific terms shouldn't be categories). Keep only real shopping categories (Pontoons, Riding Mowers, Chainsaws etc.). Reduces sitemap noise + URL surface area + confused product organization. Tag default: Needs Finalization (audit-pending after Aiden cache purge + post-PR-87+88 verification + taxonomy cleanup decision).",delete_301_to_parent
163,CS-355T,cs-355t,https://reyco.glvmarketing.ca/reyco-category/cs-355t/,"Needs Finalization, Delete","R541 CS-355T — PRODUCT_CATEGORY ARCHIVE PAGE (URL pattern /reyco-category/[slug]/) — auto-generated archive for the custom Reyco product_category taxonomy. These are PROBABLY UNNECESSARY — many appear to be Lightspeed-import-derived auto-categories from product line variants (model numbers, specific product names like 'APEX 13', 'CS-2511P', 'B') that don't represent real shopping categories. AUDIT POST-PR-87+88: verify if these archive URLs render correctly OR are caught by null-guard (correct behavior = empty state if 0 products tagged). RECOMMENDATION: Aiden + Casey should review the product_category taxonomy and DELETE auto-generated junk terms (model-specific terms shouldn't be categories). Keep only real shopping categories (Pontoons, Riding Mowers, Chainsaws etc.). Reduces sitemap noise + URL surface area + confused product organization. Tag default: Needs Finalization (audit-pending after Aiden cache purge + post-PR-87+88 verification + taxonomy cleanup decision).",delete_301_to_parent
165,CS-361P,cs-361p,https://reyco.glvmarketing.ca/reyco-category/cs-361p/,"Needs Finalization, Delete","R542 CS-361P — PRODUCT_CATEGORY ARCHIVE PAGE (URL pattern /reyco-category/[slug]/) — auto-generated archive for the custom Reyco product_category taxonomy. These are PROBABLY UNNECESSARY — many appear to be Lightspeed-import-derived auto-categories from product line variants (model numbers, specific product names like 'APEX 13', 'CS-2511P', 'B') that don't represent real shopping categories. AUDIT POST-PR-87+88: verify if these archive URLs render correctly OR are caught by null-guard (correct behavior = empty state if 0 products tagged). RECOMMENDATION: Aiden + Casey should review the product_category taxonomy and DELETE auto-generated junk terms (model-specific terms shouldn't be categories). Keep only real shopping categories (Pontoons, Riding Mowers, Chainsaws etc.). Reduces sitemap noise + URL surface area + confused product organization. Tag default: Needs Finalization (audit-pending after Aiden cache purge + post-PR-87+88 verification + taxonomy cleanup decision).",delete_301_to_parent
166,CS-370F,cs-370f,https://reyco.glvmarketing.ca/reyco-category/cs-370f/,"Needs Finalization, Delete","R543 CS-370F — PRODUCT_CATEGORY ARCHIVE PAGE (URL pattern /reyco-category/[slug]/) — auto-generated archive for the custom Reyco product_category taxonomy. These are PROBABLY UNNECESSARY — many appear to be Lightspeed-import-derived auto-categories from product line variants (model numbers, specific product names like 'APEX 13', 'CS-2511P', 'B') that don't represent real shopping categories. AUDIT POST-PR-87+88: verify if these archive URLs render correctly OR are caught by null-guard (correct behavior = empty state if 0 products tagged). RECOMMENDATION: Aiden + Casey should review the product_category taxonomy and DELETE auto-generated junk terms (model-specific terms shouldn't be categories). Keep only real shopping categories (Pontoons, Riding Mowers, Chainsaws etc.). Reduces sitemap noise + URL surface area + confused product organization. Tag default: Needs Finalization (audit-pending after Aiden cache purge + post-PR-87+88 verification + taxonomy cleanup decision).",delete_301_to_parent
