ID,Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (lbs),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Brands,Meta: _product_sku,Meta: _product_year,Meta: _product_condition,Meta: _product_stock_status,Meta: _product_specs,Meta: _product_expert_id,Meta: _product_expert_review,Meta: _lightspeed_unit_id,Meta: _product_price,Meta: _product_msrp,Meta: _lightspeed_vin,Meta: _lightspeed_web_title,Meta: _lightspeed_color,Meta: _lightspeed_class,Meta: _lightspeed_unit_type,Meta: _lightspeed_raw_json,Meta: _lightspeed_last_sync,Meta: _lightspeed_unmapped_type,Meta: _product_monthly_payment,Reyco Category Slug
216,simple,HS-SEC550EPS-26,,2026 Hisun Sector 550 EPS UTV,1,0,visible,"Mid-tier utility UTV with electric power steering. Five factory colours, selectable 4WD with diff-lock — the sweet spot for property work that lasts all day.","<p>For most rural property owners around Algoma, the Sector 550 EPS is the right-sized utility Hisun. Mid-tier displacement, electric power steering, and the kind of build that makes a long workday feel a lot less like a workout. Plowing the cottage road, hauling firewood out of the back-forty, running fence on a cleanup weekend — this is the machine that puts in honest hours without complaint.</p><p>Five factory colours on the floor: Avocado Green, Camo, Destroyer Grey, HISUN Red, and Tactical Tan. Two seats, selectable 2WD/4WD with rear differential lock, and the EPS option that the customers who actually use the machine all day come back grateful for. Without power steering, eight hours behind the wheel on rough terrain wears on the shoulders fast. With it, you climb out at the end of the day and the next morning you do not feel it.</p><p>Reyco is an authorised Hisun dealer. Warranty registers in-house — Lynn at the parts counter handles the paperwork, Ron pulls Hisun parts off the shelf when something needs replacing, and Lee in the service department covers the bench work for the entire ATV and UTV side of the shop. That all-under-one-roof setup is the difference between a machine that gets ridden and a machine that ends up parked waiting for parts.</p><p>For Algoma customers who use their UTV for actual labour — not just trail rides — the Sector 550 EPS is the sweet spot. Step up to the 750 EPS if you want full-displacement power for heavier loads, or step down to the Sector 250 if your property runs tighter trails. Drop in to White Oak Drive to see the colours on the floor, or call 705-253-7828 to ask about wait times. 11 White Oak Drive East, Sault Ste. Marie.</p><p>Trade-in talk is open if you are stepping up from a quad or off a smaller Sector — Lynn handles intake at the parts counter. Accessory adds worth a look on this one: a winch for plow-blade compatibility, a windshield for shoulder-season comfort, and the EPS-line factory add-ons that fit cleanly off the Hisun catalogue.</p>",,,taxable,,backorder,,,0,0,,,,,0,,,,,,,http://reyco.glvmarketing.ca/wp-content/uploads/2026/04/800_sector550red-102158.png,,,,,,,,,0,Hisun,HS-SEC550EPS-26,2026,new,on_order,"Make|Hisun
Model|Sector 550 EPS
Year|2026
Type|UTV
Class|UTV",8,"If a customer comes in asking for one Hisun utility that does the most work for the most reasonable price, the Sector 550 EPS is what I put them on. I have sold these to property owners out toward Goulais River, to a few hunting groups running camps around Aweres, and to retired guys who needed something for the yard work that did not punish their wrists. EPS is the part nobody appreciates until they have spent a day without it. Lee in the service department handles the warranty side, so customers do not need to worry about who is going to look at it later. I would tell anyone shopping this size class — sit one before you compare. The colour selection is broad enough that you can usually pick what you want off the floor.",,,,,,,,,,,,,utvs
217,simple,HS-SEC750CREW-26,,2026 Hisun Sector 750 Crew UTV,1,0,visible,"Four-seat utility UTV. Three factory colours, selectable 4WD with diff-lock — sized for hunt camp crews and family properties moving people and gear together.","<p>Hunt camp crews, family properties with grandkids on the weekend, work crews moving tools and people in one trip — the Sector 750 Crew is the Hisun built for the situations where a two-seat UTV is one seat short. Four-seat configuration on the Sector platform, full-displacement engine, and the cargo deck that still hauls real gear once everyone is in.</p><p>Three factory colours on offer: Viper Woodland, Destroyer Grey, and Fresh Avocado. Selectable 2WD/4WD with rear differential lock — the same drivetrain backbone the rest of the Sector line runs, scaled up for the crew body. The four-seat layout matters most on the kind of trips where you would otherwise be doing two runs in a smaller machine: dropping off a hunting party at the back blind, getting a family across a cottage trail, moving a work crew with their tools to a fence-line cleanup.</p><p>Reyco is an authorised Hisun dealer. Lee in the service department handles the bench work — engines, ATV/UTV, and the marine and small-engine side too — so the Crew is not getting handed off to a sub-shop somewhere. Lynn manages the parts counter and Ron pulls the Hisun catalogue parts when something needs swapping. Warranty paperwork registers right here in-house.</p><p>For the hunt camp regulars who run a Trans-Canada-route camp and need to move four guys plus rifles plus the day's gear, this is the right Hisun. For family properties where weekends mean the whole house heading out together, same story. The Crew earns its keep by replacing two trips with one. Drop in to see one on the floor or to compare directly against the Stryker 750 Crew if you are between sport and utility — the Sector is the work-first version. 11 White Oak Drive East, Sault Ste. Marie. 705-253-7828.</p><p>Worth asking about on the floor: cargo bed extensions, four-up safety harnesses, and the family of factory accessories Hisun ships for the Crew chassis. Trade-in chat is open with Lynn at the parts counter if you are stepping up from a two-seat utility — bring the smaller machine in for an honest read on what it is worth toward the upgrade.</p>",,,taxable,,backorder,,,0,0,,,,,0,,,,,,,http://reyco.glvmarketing.ca/wp-content/uploads/2026/04/800_sector750crewred-104342.png,,,,,,,,,0,Hisun,HS-SEC750CREW-26,2026,new,on_order,"Make|Hisun
Model|Sector 750 Crew
Year|2026
Type|UTV
Class|UTV",8,"The Sector 750 Crew is the one I sell to hunt camp customers who roll deep — four-up plus gear, every weekend, all season. I have had buyers come in from camps off the Trans-Canada and from family properties up around Searchmont who specifically needed a four-seater and wanted utility, not sport. The Crew fits that brief without compromising the cargo space the way some four-seaters do. Lee on the bench covers the service side once it is in your hands, which matters more on a machine that gets used hard. Honest sales-floor take: if you are debating between this and two Sector 550s for separate riders, the Crew almost always wins on cost and on logistics. Drop in if you want to climb in all four seats — easier than describing it.",,,,,,,,,,,,,utvs
218,simple,HS-STRY750X-26,,2026 Hisun Stryker 750X UTV,1,0,visible,"Two-seat sport-trail flagship. Long-travel overland-capable suspension, two factory colours — for riders who push past trail cruising into technical terrain.","<p>The Stryker 750X is what Hisun put up against the bigger-name sport-trail flagships. Long-travel suspension geometry built for overland touring, full-displacement power, and the ground clearance that makes technical riding through Crown land north of the Sault possible without leaving body panels at the bottom of every ravine.</p><p>Two factory colours stocked: Camo and HISUN Red. Two-seat configuration with selectable 2WD/4WD. This is not the trail-cruiser end of the sport line — the Stryker is set up for the customer who already knows what aggressive terrain feels like and wants the suspension travel and chassis stiffness to actually use a machine in it. Riders heading out to the technical sections past Bellevue Valley or working the long ridge trails through the highlands tend to size up to the X for that reason.</p><p>Reyco is an authorised Hisun dealer. The service department covers it in-house — Lee handles the engine and ATV/UTV bench work for the whole shop. Warranty registers at the parts counter where Lynn manages the Hisun paperwork and Ron pulls parts when a Stryker needs anything off the catalogue. When you put a sport UTV through technical riding, the parts pipeline matters; we keep the moving items stocked.</p><p>If you are coming from a Strike 550R and ready for more chassis, or from another brand's sport flagship and looking at value, the Stryker 750X is the test ride to come down for. Sport-trail customers who care about overland-capable geometry — meaning you can actually use the suspension travel rather than just look at the spec — usually leave wanting one. Stop in to White Oak Drive to see what is on the floor, or 705-253-7828 to confirm colour. 11 White Oak Drive East, Sault Ste. Marie.</p><p>Accessories that come up most often on Stryker 750X writeups: a winch for technical-trail recovery, a full skid-plate kit for protection on aggressive terrain, and uprated lighting for low-visibility runs. Ron handles those parts pulls. Trade-in conversation is open if you are coming off another sport flagship — bring it in and we can size up the value honestly.</p>",,,taxable,,backorder,,,0,0,,,,,0,,,,,,,http://reyco.glvmarketing.ca/wp-content/uploads/2026/04/800_stryker-red-750x-front-angle-w-vents-102322.png,,,,,,,,,0,Hisun,HS-STRY750X-26,2026,new,on_order,"Make|Hisun
Model|Stryker 750X
Year|2026
Type|UTV
Class|UTV",8,"The Stryker 750X is the sport Hisun I sell to riders who are not first-timers. Most of the customers I have written this one up for have come in already knowing what aggressive terrain is — they want a sport UTV that can actually take it, not just a spec sheet that says it can. I have sold to a couple of guys running Crown land trails out toward Aweres who wanted suspension travel that lasts past the first weekend, and they have been back for accessories more than for service, which is how I gauge it. Lee in the service department backs up the warranty side so buyers are not on their own once they are riding. Honest take from the sales floor: the Stryker line is where Hisun proves it belongs in the conversation with the bigger names. Come look at one on the floor before you decide.",,,,,,,,,,,,,utvs
219,simple,HS-MP9550R-26,,2026 Hisun MP9 550R UTV,1,0,visible,"Mid-displacement sport UTV in four factory colours. Selectable 4WD, real trail suspension — sized for serious riders who do not need the flagship to keep up.","<p>Ask Kory which Hisun sport UTV gives the most rider for the dollar and the answer tends to be the MP9 550R. Mid-displacement engine in the 550 class, full sport-trail suspension, two-seat configuration, four factory colours stocked: Camo, Gray, Red, and Tan. It is the machine that keeps customers on the trail instead of stuck deliberating between price brackets on the showroom floor.</p><p>The MP9 platform is Hisun's pure sport line — different chassis intent than the Strike, set up for trail riders who want a more aggressive ride without sizing up to a 750-class flagship. Riders heading out for weekend rides on the Bruce Mines forestry roads or running the long loops north of Iron Bridge tend to fit this one. Selectable 2WD/4WD lets you pick the drivetrain for the conditions instead of fighting the machine in dry conditions or losing traction in wet.</p><p>Reyco is an authorised Hisun dealer. Lee in the service department handles the bench side for the whole ATV and UTV line — engine work, suspension, the lot. Lynn manages the parts counter where the Hisun warranty paperwork registers, and Ron pulls catalogue parts when anything on an MP9 needs replacing. Authorised-dealer status means the warranty actually means something — there is no third-party hand-off when something needs covering.</p><p>If you have ridden a Strike 550R already and want a more sport-focused chassis on the same engine class, the MP9 is the conversation to have. If you are coming up from an ATV and want a sport UTV without going to the flagship pricing, this is also where Kory points the conversation. Drop in to White Oak Drive to see the colour selection in person, or call 705-253-7828 to confirm what is on the floor. 11 White Oak Drive East, Sault Ste. Marie.</p><p>Common accessory packages on the MP9 550R: half-windshield kits for shoulder-season comfort, factory-fit roof panels for rain protection, and the MP9-line rack mounts that bolt on without aftermarket guesswork. Ron at the parts counter handles the catalogue pulls; ask before ordering anything aftermarket so you do not pay twice for fitment.</p>",,,taxable,,backorder,,,0,0,,,,,0,,,,,,,http://reyco.glvmarketing.ca/wp-content/uploads/2026/04/800_mp9-400-front-angle-red-no-winch-web-105838.png,,,,,,,,,0,Hisun,HS-MP9550R-26,2026,new,on_order,"Make|Hisun
Model|MP9 550R
Year|2026
Type|UTV
Class|UTV",8,"I sell more MP9 550Rs to serious trail riders than almost any other sport Hisun on the floor. Customers I put on this one tend to be guys who already know what they like — a few have come up from quads and wanted their first sport side-by-side, others have traded down from bigger-brand flagships because they realised they did not need that much machine. Camo and Tan move quickest in our area; the Gray usually finds the customer who wants something quieter-looking. Lee covers the service side once the customer is riding, which matters because the MP9 is a machine that gets ridden hard, not garaged. Honest sales-floor read: this is the Hisun that punches up the hardest. Worth a sit before you commit to the bigger numbers.",,,,,,,,,,,,,utvs
220,simple,HS-HS500-26,,2026 Hisun HS 500 ATV,1,0,visible,"Mid-range utility ATV. Single-rider, selectable 4WD, front and rear racks — the budget-honest workhorse for hunters, trappers, and back-forty cleanup.","<p>For customers who need a single-rider utility ATV and are tired of paying premium-brand pricing for a machine that does the same job, the HS 500 is the Hisun answer. Mid-range displacement, selectable 2WD/4WD, front and rear racks for the gear that actually goes on a utility quad, and the kind of pricing that matches how most Algoma buyers actually budget for working equipment.</p><p>Single-rider configuration. The customers Kory writes this one up for are split fairly evenly: hunters packing camp gear up to weekend blinds, trappers running long lines through Crown land north of Wawa, and rural property owners who need a quad that earns its keep year-round on storm cleanup, firewood runs, and the kind of small jobs that ought to be one machine. Front rack carries 40 lbs, rear rack 80 — sized for the working loads, not optimistic catalogue numbers.</p><p>Reyco is an authorised Hisun dealer. The HS line's warranty registers in-house at the parts counter where Lynn handles the paperwork. Lee in the service department covers the bench work — engines, ATV, UTV, marine — meaning if something needs attention, your ATV does not need to leave the city. Ron at the parts counter knows the Hisun catalogue and can pull a filter, belt, or replacement bracket when a customer needs to keep a machine in the field.</p><p>Honest pricing on a proven Hisun manufacturing platform — that is the value the HS 500 delivers. For trappers, hunters, woodlot owners, and small-acreage operators who want the work done without paying twice for the badge on the tank, this is where the conversation starts. Drop in to White Oak Drive to see one in person, or call 705-253-7828 to ask about availability. 11 White Oak Drive East, Sault Ste. Marie.</p><p>Common accessory adds for the HS 500: front winch for trapline recovery, a basic gun rack for the hunting customer, and an oversized rear cargo box for the buyer using it as the working hauler on the property. Ron pulls the Hisun catalogue parts; Lynn manages the orders. Worth asking about a winch package before you walk out — it pays for itself the first time the trail goes wrong.</p>",,,taxable,,backorder,,,0,0,,,,,0,,,,,,,http://reyco.glvmarketing.ca/wp-content/uploads/2026/04/800_d1c4ff056a6aaf027c14ec92c81dc2da6bd2b507.png,,,,,,,,,0,Hisun,HS-HS500-26,2026,new,on_order,"Make|Hisun
Model|HS 500
Year|2026
Type|ATV
Class|ATV",8,"I sell the HS 500 mostly to working customers — trappers, hunters, property guys — who care more about hours-of-use than about brand names on the tank. A trapper I have written up two of these for over the years runs his line out past the Wawa turnoff and tells me the Hisun has held up exactly the way he expected for the dollar. I have also moved a few to retirees with rural acreage who were stepping down from a bigger machine and wanted something honest. Lee on the service bench covers the warranty side — meaning the in-house service is real, not a fallback. If you are budget-conscious and need a working ATV instead of a recreational toy, this is the floor model to sit. We usually have one in the showroom.",,,,,,,,,,,,,atvs
221,simple,HS-FORGE400I-26,,2026 Hisun Forge 400i ATV,1,0,visible,"Sport-utility ATV with fuel injection. Three factory colours, selectable 4WD — for solo riders who want real ground-covering capability.","<p>The Forge 400i is the Hisun ATV for riders who want more performance than the HS line gives without sizing up to a full sport quad. Fuel-injected, mid-displacement, single-rider, and built around a chassis that handles real ground-covering riding — not just utility work in the back yard. Three factory colours stocked: Black Ops, Cavalry Blue, and Viper Woodland Camo.</p><p>Solo riders are the customer base for this one. Cottage owners who ride their own line of trails up around Heyden and Aweres, weekend trail guys running the Bellevue Valley network, hunters who want a quad that handles the trip in to the blind and the long way back without making them work for it. Selectable 2WD/4WD lets the rider pick the drivetrain for the conditions, and the fuel-injected setup means cold-morning starts up here at 7 a.m. in October are not a fight.</p><p>Reyco is an authorised Hisun dealer. Warranty registration goes through Lynn at the parts counter, and Ron pulls Hisun parts on demand from the catalogue when a Forge needs anything serviced. Lee in the service department covers the bench work — the same Lee who runs the marine and small-engine side, plus the full ATV/UTV bench. All-under-one-roof service is part of why customers come back when they are ready for the next quad.</p><p>For solo riders who do not need utility racks bolted on a sport-utility chassis, the Forge is the Hisun ATV that gets the most respect off the trail. Sit one in the showroom against the HS 500 to feel the difference — they answer different briefs and the Forge is the one with the more aggressive tune. Drop in to White Oak Drive, or call 705-253-7828 to confirm what colour is on the floor today.</p><p>Accessory bundle worth a conversation on the Forge: handguards for late-season cold riding, a winch package for solo-rider recovery, and the Forge-line storage adds that fit factory mount points without aftermarket guessing. Lynn manages the parts orders; Ron pulls them off the Hisun catalogue. Stop in before ordering anything aftermarket — fitment matters more than people realise.</p>",,,taxable,,backorder,,,0,0,,,,,0,,,,,,,http://reyco.glvmarketing.ca/wp-content/uploads/2026/04/HS-FORGE400I-26.jpg,,,,,,,,,0,Hisun,HS-FORGE400I-26,2026,new,on_order,"Make|Hisun
Model|Forge 400i
Year|2026
Type|ATV
Class|ATV",8,"The Forge 400i is the ATV I sell to solo riders who already know what they want out of a quad. Customers who land on this one tend to be cottage-trail riders, single-blind hunters, and the guys who do not want to be carrying a passenger or an oversized rack — they just want a sport-utility quad that goes. Fuel injection is the part I point at when somebody is hesitating; up here in the Sault, October cold-starts matter more than people in the catalogue copy probably realise. Lee on the service bench has the Hisun line dialled in, so the warranty side is genuinely covered. Drop in if you want to compare the Forge against the Strike 550R — different category, but the same customer sometimes lands on either. We can walk you through it on the floor.",,,,,,,,,,,,,atvs
222,simple,HS-SEC-E1-26,,2026 Hisun Sector E1 Electric UTV,1,0,visible,"Two-seat electric utility UTV. 48V lithium pack, three factory colours — quiet enough to park beside the cabin, real cargo capability for property work.","<p>The Sector E1 is the Hisun for customers who want proper utility UTV capability on an electric platform. Two seats, real cargo space, and the kind of quiet operation that means parking it next to the cabin at midnight does not wake anyone up. Zero emissions, 48V lithium battery, charge time roughly 8 to 10 hours on a 120V outlet. Three factory colours: Cavalry Blue, Destroyer Grey, and HISUN Red.</p><p>The customer base that has been picking this one up is broader than expected. Cottage owners on quiet lakes north of the Sault who do not want a gas engine running through the morning. Property owners who do their own trail work and have realised the noise is the worst part of a long maintenance day. Some early-adopter farm operators who run electric tools generally and wanted a UTV to match. The Sector platform underneath means it is not a glorified golf cart — the cargo and capability are real, just delivered through an AC electric motor instead of a CVT.</p><p>Reyco is an authorised Hisun dealer. The Sector E1 warranty registers in-house through Lynn at the parts counter, and Ron handles parts pulls from the Hisun catalogue. Lee in the service department covers the electric platform too — the engine and ATV/UTV bench is set up for it, not a separate specialist. Battery service and electrical diagnostics are part of how the bench operates now, not a future add.</p><p>For customers shopping electric utility seriously rather than as a curiosity, the Sector E1 is the conversation Reyco has with you. Drop in to White Oak Drive to see the floor unit — quietest demo we run, by a wide margin — or call 705-253-7828 to ask about charge specifics for your setup. 11 White Oak Drive East, Sault Ste. Marie.</p><p>Common questions on the Sector E1 from buyers seriously evaluating electric: charge time on a 240V circuit if you have shop power, range under load, and battery service intervals. Lee on the bench has the answers; come prepared with your use-case specifics and we can give you straight numbers rather than catalogue copy. Worth a demo ride at the showroom — quietest one we run.</p>",,,taxable,,backorder,,,0,0,,,,,0,,,,,,,http://reyco.glvmarketing.ca/wp-content/uploads/2026/04/800_e1-green-152808.png,,,,,,,,,0,Hisun,HS-SEC-E1-26,2026,new,on_order,"Make|Hisun
Model|Sector E1
Year|2026
Type|UTV
Class|UTV",8,"The Sector E1 is the Hisun I have started selling to a customer profile I did not see five years ago — cottage owners and property guys who specifically want electric. I have written this one up for a couple of buyers on quiet lakes around Searchmont who hated the noise of running a gas UTV through quiet mornings, and for a hobby-farmer customer who runs everything battery-powered already. The honest sales-floor observation: the Sector E1 is not a compromise — the cargo and the seating are real, you just trade the gas tank for an outlet. Lee covers it in the service department like any other Hisun in the line. Worth a demo if electric is on your radar at all — drop in, the showroom is the easiest place to see the difference.",,,,,,,,,,,,,utvs
223,simple,HS-ACENV-26,,2026 Hisun ACE NV Electric Golf Cart,1,0,visible,"Four-seat electric golf cart. EV Black or Coastal Blue factory finish, LSV classification (province dependent) — for golf course ops, large properties, and senior-living facilities.","<p>The Hisun ACE NV is the four-seat electric golf cart Reyco brings in for customers who need more than a recreational cart — they need a serious low-speed vehicle that does real work. 48V electric AC motor, four-passenger configuration, and LSV (Low-Speed Vehicle) classification depending on the province and the municipality you operate in. Two factory finishes: EV Black and EV Coastal Blue.</p><p>The customer profile here is not who you might guess. Some are golf course operators replacing aging fleets and tired of putt-putt cart performance. More often it is large-property owners — multi-acre estates around Echo Bay or up the shoreline north of Sault Ste. Marie — who want a four-seat way to move around their land that does not require a UTV-class machine. Senior-living facilities and private community managers also pick these up for staff and resident transport when an LSV is the right legal classification.</p><p>Reyco is an authorised Hisun dealer. Lynn manages the parts counter and handles the warranty paperwork for the ACE line. Ron pulls the Hisun catalogue parts when a cart needs anything off the shelf. Lee in the service department covers the electric platform on the bench — the same bench that runs ATV, UTV, marine, and small-engine work — meaning service does not get punted to a third party.</p><p>Confirm LSV legality with your municipality before you finalise — the classification varies and we cannot speak for every Ontario town. What we can say is that for the customer who needs a four-seat electric cart from an authorised dealer with in-house parts and service, this is the floor unit to come look at. 11 White Oak Drive East, Sault Ste. Marie. 705-253-7828.</p><p>Common accessory packages on the ACE NV: factory canopy upgrades, road-package lighting kits for LSV-classified use, and golf-bag storage frames for the course-fleet buyer. Ron handles the parts catalogue pulls. Worth confirming with your municipality before finalising — the LSV rules are local-specific and we cannot speak for every Ontario town on classification.</p>",,,taxable,,backorder,,,0,0,,,,,0,,,,,,,http://reyco.glvmarketing.ca/wp-content/uploads/2026/04/800_aceblue-112942.png,,,,,,,,,0,Hisun,HS-ACENV-26,2026,new,on_order,"Make|Hisun
Model|ACE NV
Year|2026
Type|Golf Cart
Class|LSV",8,"I sell the ACE NV mostly to two crowds — large-property owners and the operators who manage facilities where a cart is part of how the day actually runs. Most recently I wrote one up for a customer with a big shoreline property up the Lake Superior side who needed four-seat capacity and wanted electric specifically. Coastal Blue is the colour that moves first; EV Black tends to find the buyer who wants something quieter-looking. Lee on the service bench covers the electric drive side, so customers are not on their own for maintenance. Honest tip from the floor: confirm the LSV rules with your municipality before signing — it changes how you can use it, and that is the bit only your local office can rule on.",,,,,,,,,,,,,golf-carts
