sku,product_id,product_name,brand,category,current_image_url,image_w,image_h,image_source,current_image_issue,severity,proposed_action,proposed_image_url,notes
2026-CUB-CADET-13AQA,728,2026 Cub Cadet 13AQA2TMA10,Cub Cadet,Unknown,,0,0,none,no_image,SEVERE,mfr_hd,NEEDS_SOURCING from cubcadet.ca (confidence: HIGH),"Riding mowers, zero-turns, accessories. Clean white-BG shots on cubcadet.ca product pages."
2026-CUB-CADET-13B5A,517,2026 Cub Cadet 13B5A2TLA10,Cub Cadet,Unknown,,0,0,none,no_image,SEVERE,mfr_hd,NEEDS_SOURCING from cubcadet.ca (confidence: HIGH),"Riding mowers, zero-turns, accessories. Clean white-BG shots on cubcadet.ca product pages."
2026-CUB-CADET-13B6A,523,2026 Cub Cadet 13B6A9TTA10,Cub Cadet,Unknown,,0,0,none,no_image,SEVERE,mfr_hd,NEEDS_SOURCING from cubcadet.ca (confidence: HIGH),"Riding mowers, zero-turns, accessories. Clean white-BG shots on cubcadet.ca product pages."
2026-CUB-CADET-13B6A,455,2026 Cub Cadet 13B6A9TTA10,Cub Cadet,Unknown,,0,0,none,no_image,SEVERE,mfr_hd,NEEDS_SOURCING from cubcadet.ca (confidence: HIGH),"Riding mowers, zero-turns, accessories. Clean white-BG shots on cubcadet.ca product pages."
2026-CUB-CADET-13B6A,449,2026 Cub Cadet 13B6A9TTA10,Cub Cadet,Unknown,,0,0,none,no_image,SEVERE,mfr_hd,NEEDS_SOURCING from cubcadet.ca (confidence: HIGH),"Riding mowers, zero-turns, accessories. Clean white-BG shots on cubcadet.ca product pages."
2026-CUB-CADET-13B6A,448,2026 Cub Cadet 13B6A9TTA10,Cub Cadet,Unknown,,0,0,none,no_image,SEVERE,mfr_hd,NEEDS_SOURCING from cubcadet.ca (confidence: HIGH),"Riding mowers, zero-turns, accessories. Clean white-BG shots on cubcadet.ca product pages."
2022-EASY-HAULER-AL-,505,2022 Easy Hauler AL-PTDB2026-TRI,Easy Hauler,Unknown,,0,0,none,no_image,SEVERE,google_url,NEEDS_SOURCING from easyhaulertrailers.com (confidence: LOW),Boat trailers. Source via manufacturer site or Google search.
2022-EASY-HAULER-AL-,500,2022 Easy Hauler AL-PTDB2026-TRI,Easy Hauler,Unknown,,0,0,none,no_image,SEVERE,google_url,NEEDS_SOURCING from easyhaulertrailers.com (confidence: LOW),Boat trailers. Source via manufacturer site or Google search.
2022-EASY-HAULER-AL-,419,2022 Easy Hauler AL-PTDB2026-TRI,Easy Hauler,Unknown,,0,0,none,no_image,SEVERE,google_url,NEEDS_SOURCING from easyhaulertrailers.com (confidence: LOW),Boat trailers. Source via manufacturer site or Google search.
2022-EASY-HAULER-AL-,416,2022 Easy Hauler AL-PTDB2026-TRI,Easy Hauler,Unknown,,0,0,none,no_image,SEVERE,google_url,NEEDS_SOURCING from easyhaulertrailers.com (confidence: LOW),Boat trailers. Source via manufacturer site or Google search.
2022-EASY-HAULER-AL-,415,2022 Easy Hauler AL-PTDB2026-TRI,Easy Hauler,Unknown,,0,0,none,no_image,SEVERE,google_url,NEEDS_SOURCING from easyhaulertrailers.com (confidence: LOW),Boat trailers. Source via manufacturer site or Google search.
2024-EASY-HAULER-AL-,509,2024 Easy Hauler AL-1610B-YC,Easy Hauler,Unknown,,0,0,none,no_image,SEVERE,google_url,NEEDS_SOURCING from easyhaulertrailers.com (confidence: LOW),Boat trailers. Source via manufacturer site or Google search.
2025-EASY-HAULER-125,522,2025 Easy Hauler 1250# PAINTED TRAILER 480 X 12B E-COAT,Easy Hauler,Unknown,,0,0,none,no_image,SEVERE,google_url,NEEDS_SOURCING from easyhaulertrailers.com (confidence: LOW),Boat trailers. Source via manufacturer site or Google search.
2026-EASY-HAULER-AL-,542,2026 Easy Hauler AL-PTDB2023,Easy Hauler,Unknown,,0,0,none,no_image,SEVERE,google_url,NEEDS_SOURCING from easyhaulertrailers.com (confidence: LOW),Boat trailers. Source via manufacturer site or Google search.
2026-EASY-HAULER-AL-,507,2026 Easy Hauler AL-PTDB2023,Easy Hauler,Unknown,,0,0,none,no_image,SEVERE,google_url,NEEDS_SOURCING from easyhaulertrailers.com (confidence: LOW),Boat trailers. Source via manufacturer site or Google search.
2026-EASY-HAULER-AL-,460,2026 Easy Hauler AL-PTDB2023,Easy Hauler,Unknown,,0,0,none,no_image,SEVERE,google_url,NEEDS_SOURCING from easyhaulertrailers.com (confidence: LOW),Boat trailers. Source via manufacturer site or Google search.
2026-EASY-HAULER-AL-,398,2026 Easy Hauler AL-PTDB2023,Easy Hauler,Unknown,,0,0,none,no_image,SEVERE,google_url,NEEDS_SOURCING from easyhaulertrailers.com (confidence: LOW),Boat trailers. Source via manufacturer site or Google search.
HS-HS400-26,236,Hisun HS 400 Entry ATV,Hisun,ATVs,https://reyco.glvmarketing.ca/wp-content/uploads/2026/04/HS-HS400-26.jpg,960,1200,local_jpeg,spec_sheet,SEVERE,mfr_url,https://static.visionamp.co/rubix/20230829/800_bc87fbc39e87cb0e34cf722b75f2413ec7587279.png,CALIBRATION: Currently spec sheet as main image. Replace with Hisun Canada product photo (verify white-BG before applying).
HS-HS500-26,220,Hisun HS 500 — Utility ATV,Hisun,ATVs,https://reyco.glvmarketing.ca/wp-content/uploads/2026/04/HS-HS500-26.jpg,960,1200,local_jpeg,spec_sheet,SEVERE,mfr_url,https://static.visionamp.co/rubix/20231128/800_d1c4ff056a6aaf027c14ec92c81dc2da6bd2b507.png,CALIBRATION: Currently spec sheet as main image. Replace with Hisun Canada product photo (verify white-BG before applying).
HB-ICELIVE2-PWR-26,285,Humminbird ICE MEGA Live 2 Power Cable,Humminbird,Marine Electronics Accessories,,0,0,none,no_image,SEVERE,none,NEEDS_SOURCING,
HB-ICELIVE2-SAE-26,286,Humminbird ICE MEGA Live 2 SAE Power Cable,Humminbird,Marine Electronics Accessories,,0,0,none,no_image,SEVERE,none,NEEDS_SOURCING,
HB-XPLORE-PWR-26,287,Humminbird ICE XPLORE Power Cable,Humminbird,Marine Electronics Accessories,,0,0,none,no_image,SEVERE,none,NEEDS_SOURCING,
2014-MERCURY-50-ELHP,525,2014 Mercury 50 ELHPT 4S EFI,Mercury,Unknown,,0,0,none,no_image,SEVERE,mfr_hd,NEEDS_SOURCING from mercurymarine.com (confidence: MEDIUM),Outboards + accessories. Mercury CDN blocks hotlinks; may need download+reupload from mercurymarine.com product pages.
2021-MERCURY-ME-2-5M,484,2021 Mercury ME 2.5MH 4S TMC,Mercury,Unknown,,0,0,none,no_image,SEVERE,mfr_hd,NEEDS_SOURCING from mercurymarine.com (confidence: MEDIUM),Outboards + accessories. Mercury CDN blocks hotlinks; may need download+reupload from mercurymarine.com product pages.
2021-MERCURY-ME-2-5M,401,2021 Mercury ME 2.5MH 4S TMC,Mercury,Unknown,,0,0,none,no_image,SEVERE,mfr_hd,NEEDS_SOURCING from mercurymarine.com (confidence: MEDIUM),Outboards + accessories. Mercury CDN blocks hotlinks; may need download+reupload from mercurymarine.com product pages.
2021-MERCURY-ME-20-E,557,2021 Mercury ME 20 ELHPT 4S,Mercury,Unknown,,0,0,none,no_image,SEVERE,mfr_hd,NEEDS_SOURCING from mercurymarine.com (confidence: MEDIUM),Outboards + accessories. Mercury CDN blocks hotlinks; may need download+reupload from mercurymarine.com product pages.
2021-MERCURY-ME-5-MH,493,2021 Mercury ME 5 MH LPG 4S,Mercury,Unknown,,0,0,none,no_image,SEVERE,mfr_hd,NEEDS_SOURCING from mercurymarine.com (confidence: MEDIUM),Outboards + accessories. Mercury CDN blocks hotlinks; may need download+reupload from mercurymarine.com product pages.
2021-MERCURY-ME-5-MH,432,2021 Mercury ME 5 MH LPG 4S,Mercury,Unknown,,0,0,none,no_image,SEVERE,mfr_hd,NEEDS_SOURCING from mercurymarine.com (confidence: MEDIUM),Outboards + accessories. Mercury CDN blocks hotlinks; may need download+reupload from mercurymarine.com product pages.
2022-MERCURY-ME-15-E,527,2022 Mercury ME 15 ELH 4S,Mercury,Unknown,,0,0,none,no_image,SEVERE,mfr_hd,NEEDS_SOURCING from mercurymarine.com (confidence: MEDIUM),Outboards + accessories. Mercury CDN blocks hotlinks; may need download+reupload from mercurymarine.com product pages.
2022-MERCURY-ME-20-M,546,2022 Mercury ME 20 MLH 4S,Mercury,Unknown,,0,0,none,no_image,SEVERE,mfr_hd,NEEDS_SOURCING from mercurymarine.com (confidence: MEDIUM),Outboards + accessories. Mercury CDN blocks hotlinks; may need download+reupload from mercurymarine.com product pages.
2022-MERCURY-ME-20-M,410,2022 Mercury ME 20 MLH 4S,Mercury,Unknown,,0,0,none,no_image,SEVERE,mfr_hd,NEEDS_SOURCING from mercurymarine.com (confidence: MEDIUM),Outboards + accessories. Mercury CDN blocks hotlinks; may need download+reupload from mercurymarine.com product pages.
2022-MERCURY-ME-30-E,552,2022 Mercury ME 30 ELPT EFI 4S,Mercury,Unknown,,0,0,none,no_image,SEVERE,mfr_hd,NEEDS_SOURCING from mercurymarine.com (confidence: MEDIUM),Outboards + accessories. Mercury CDN blocks hotlinks; may need download+reupload from mercurymarine.com product pages.
2022-MERCURY-ME-30-E,412,2022 Mercury ME 30 ELPT EFI 4S,Mercury,Unknown,,0,0,none,no_image,SEVERE,mfr_hd,NEEDS_SOURCING from mercurymarine.com (confidence: MEDIUM),Outboards + accessories. Mercury CDN blocks hotlinks; may need download+reupload from mercurymarine.com product pages.
2022-MERCURY-ME-4MH-,408,2022 Mercury ME 4MH 4S,Mercury,Unknown,,0,0,none,no_image,SEVERE,mfr_hd,NEEDS_SOURCING from mercurymarine.com (confidence: MEDIUM),Outboards + accessories. Mercury CDN blocks hotlinks; may need download+reupload from mercurymarine.com product pages.
2022-MERCURY-ME-5-MX,395,2022 Mercury ME 5 MXLHA LPG 4S SAILPOWER,Mercury,Unknown,,0,0,none,no_image,SEVERE,mfr_hd,NEEDS_SOURCING from mercurymarine.com (confidence: MEDIUM),Outboards + accessories. Mercury CDN blocks hotlinks; may need download+reupload from mercurymarine.com product pages.
2022-MERCURY-ME-60-E,731,2022 Mercury ME 60 ELPT 4S EFI,Mercury,Unknown,,0,0,none,no_image,SEVERE,mfr_hd,NEEDS_SOURCING from mercurymarine.com (confidence: MEDIUM),Outboards + accessories. Mercury CDN blocks hotlinks; may need download+reupload from mercurymarine.com product pages.
2022-MERCURY-ME-8MH-,515,2022 Mercury ME 8MH 4S TMC,Mercury,Unknown,,0,0,none,no_image,SEVERE,mfr_hd,NEEDS_SOURCING from mercurymarine.com (confidence: MEDIUM),Outboards + accessories. Mercury CDN blocks hotlinks; may need download+reupload from mercurymarine.com product pages.
2022-MERCURY-ME-8MH-,402,2022 Mercury ME 8MH 4S TMC,Mercury,Unknown,,0,0,none,no_image,SEVERE,mfr_hd,NEEDS_SOURCING from mercurymarine.com (confidence: MEDIUM),Outboards + accessories. Mercury CDN blocks hotlinks; may need download+reupload from mercurymarine.com product pages.
2022-MERCURY-ME-9-9E,467,2022 Mercury ME 9.9ELH 4S TMC,Mercury,Unknown,,0,0,none,no_image,SEVERE,mfr_hd,NEEDS_SOURCING from mercurymarine.com (confidence: MEDIUM),Outboards + accessories. Mercury CDN blocks hotlinks; may need download+reupload from mercurymarine.com product pages.
2023-MERCURY-115-PRO,490,2023 Mercury 115 Pro XS,Mercury,Unknown,,0,0,none,no_image,SEVERE,mfr_hd,NEEDS_SOURCING from mercurymarine.com (confidence: MEDIUM),Outboards + accessories. Mercury CDN blocks hotlinks; may need download+reupload from mercurymarine.com product pages.
2023-MERCURY-115-PRO,397,2023 Mercury 115 Pro XS,Mercury,Unknown,,0,0,none,no_image,SEVERE,mfr_hd,NEEDS_SOURCING from mercurymarine.com (confidence: MEDIUM),Outboards + accessories. Mercury CDN blocks hotlinks; may need download+reupload from mercurymarine.com product pages.
2023-MERCURY-60-ELPT,528,2023 Mercury 60 ELPT,Mercury,Unknown,,0,0,none,no_image,SEVERE,mfr_hd,NEEDS_SOURCING from mercurymarine.com (confidence: MEDIUM),Outboards + accessories. Mercury CDN blocks hotlinks; may need download+reupload from mercurymarine.com product pages.
2023-MERCURY-90-EXLP,554,2023 Mercury 90 EXLPT CT,Mercury,Unknown,,0,0,none,no_image,SEVERE,mfr_hd,NEEDS_SOURCING from mercurymarine.com (confidence: MEDIUM),Outboards + accessories. Mercury CDN blocks hotlinks; may need download+reupload from mercurymarine.com product pages.
2023-MERCURY-90-EXLP,383,2023 Mercury 90 EXLPT CT,Mercury,Unknown,,0,0,none,no_image,SEVERE,mfr_hd,NEEDS_SOURCING from mercurymarine.com (confidence: MEDIUM),Outboards + accessories. Mercury CDN blocks hotlinks; may need download+reupload from mercurymarine.com product pages.
2023-MERCURY-ME-15-E,513,2023 Mercury ME 15 ELHPT PK 4S,Mercury,Unknown,,0,0,none,no_image,SEVERE,mfr_hd,NEEDS_SOURCING from mercurymarine.com (confidence: MEDIUM),Outboards + accessories. Mercury CDN blocks hotlinks; may need download+reupload from mercurymarine.com product pages.
2023-MERCURY-ME-15-E,561,2023 Mercury ME 15 ELPHPT PK 4S,Mercury,Unknown,,0,0,none,no_image,SEVERE,mfr_hd,NEEDS_SOURCING from mercurymarine.com (confidence: MEDIUM),Outboards + accessories. Mercury CDN blocks hotlinks; may need download+reupload from mercurymarine.com product pages.
2023-MERCURY-ME-15-E,394,2023 Mercury ME 15 ELPHPT PK 4S,Mercury,Unknown,,0,0,none,no_image,SEVERE,mfr_hd,NEEDS_SOURCING from mercurymarine.com (confidence: MEDIUM),Outboards + accessories. Mercury CDN blocks hotlinks; may need download+reupload from mercurymarine.com product pages.
2023-MERCURY-ME-20-M,486,2023 Mercury ME 20 MLH 4S,Mercury,Unknown,,0,0,none,no_image,SEVERE,mfr_hd,NEEDS_SOURCING from mercurymarine.com (confidence: MEDIUM),Outboards + accessories. Mercury CDN blocks hotlinks; may need download+reupload from mercurymarine.com product pages.
2023-MERCURY-ME-20-M,399,2023 Mercury ME 20 MLH 4S,Mercury,Unknown,,0,0,none,no_image,SEVERE,mfr_hd,NEEDS_SOURCING from mercurymarine.com (confidence: MEDIUM),Outboards + accessories. Mercury CDN blocks hotlinks; may need download+reupload from mercurymarine.com product pages.
2023-MERCURY-ME-25-E,409,2023 Mercury ME 25 ELPT EFI 4S,Mercury,Unknown,,0,0,none,no_image,SEVERE,mfr_hd,NEEDS_SOURCING from mercurymarine.com (confidence: MEDIUM),Outboards + accessories. Mercury CDN blocks hotlinks; may need download+reupload from mercurymarine.com product pages.
2023-MERCURY-ME-3-5M,541,2023 Mercury ME 3.5MH 4S TMC,Mercury,Unknown,,0,0,none,no_image,SEVERE,mfr_hd,NEEDS_SOURCING from mercurymarine.com (confidence: MEDIUM),Outboards + accessories. Mercury CDN blocks hotlinks; may need download+reupload from mercurymarine.com product pages.
2023-MERCURY-ME-3-5M,494,2023 Mercury ME 3.5MH 4S TMC,Mercury,Unknown,,0,0,none,no_image,SEVERE,mfr_hd,NEEDS_SOURCING from mercurymarine.com (confidence: MEDIUM),Outboards + accessories. Mercury CDN blocks hotlinks; may need download+reupload from mercurymarine.com product pages.
2023-MERCURY-ME-3-5M,474,2023 Mercury ME 3.5MH 4S TMC,Mercury,Unknown,,0,0,none,no_image,SEVERE,mfr_hd,NEEDS_SOURCING from mercurymarine.com (confidence: MEDIUM),Outboards + accessories. Mercury CDN blocks hotlinks; may need download+reupload from mercurymarine.com product pages.
2023-MERCURY-ME-3-5M,444,2023 Mercury ME 3.5MH 4S TMC,Mercury,Unknown,,0,0,none,no_image,SEVERE,mfr_hd,NEEDS_SOURCING from mercurymarine.com (confidence: MEDIUM),Outboards + accessories. Mercury CDN blocks hotlinks; may need download+reupload from mercurymarine.com product pages.
2023-MERCURY-ME-3-5M,403,2023 Mercury ME 3.5MH 4S TMC,Mercury,Unknown,,0,0,none,no_image,SEVERE,mfr_hd,NEEDS_SOURCING from mercurymarine.com (confidence: MEDIUM),Outboards + accessories. Mercury CDN blocks hotlinks; may need download+reupload from mercurymarine.com product pages.
2023-MERCURY-ME-30-E,539,2023 Mercury ME 30 ELHPT EFI 4S,Mercury,Unknown,,0,0,none,no_image,SEVERE,mfr_hd,NEEDS_SOURCING from mercurymarine.com (confidence: MEDIUM),Outboards + accessories. Mercury CDN blocks hotlinks; may need download+reupload from mercurymarine.com product pages.
2023-MERCURY-ME-30-E,488,2023 Mercury ME 30 ELHPT EFI 4S,Mercury,Unknown,,0,0,none,no_image,SEVERE,mfr_hd,NEEDS_SOURCING from mercurymarine.com (confidence: MEDIUM),Outboards + accessories. Mercury CDN blocks hotlinks; may need download+reupload from mercurymarine.com product pages.
2023-MERCURY-ME-30-E,479,2023 Mercury ME 30 ELHPT EFI 4S,Mercury,Unknown,,0,0,none,no_image,SEVERE,mfr_hd,NEEDS_SOURCING from mercurymarine.com (confidence: MEDIUM),Outboards + accessories. Mercury CDN blocks hotlinks; may need download+reupload from mercurymarine.com product pages.
